orderid,custid,empid,orderdate,requireddate,shippeddate,shipperid,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry,chargeid
10385,75,1,2006-12-17 0:00:00,2007-01-14 0:00:00,2006-12-23 0:00:00,2,30.96,Ship to 75-B,P.O. Box 6789,Lander,WY,10315,USA,{ch_743w32_TEST}
10386,21,9,2006-12-18 0:00:00,2007-01-01 0:00:00,2006-12-25 0:00:00,3,13.99,Destination RNSMS,"Rua Orós, 2345",Sao Paulo,SP,10160,Brazil,{ch_743w32_TEST}
10387,70,1,2006-12-18 0:00:00,2007-01-15 0:00:00,2006-12-20 0:00:00,2,93.63,Ship to 70-B,Erling Skakkes gate 5678,Stavern,,10303,Norway,{ch_743w32_TEST}
10388,72,2,2006-12-19 0:00:00,2007-01-16 0:00:00,2006-12-20 0:00:00,1,34.86,Ship to 72-C,1234 Wadhurst Rd.,London,,10309,UK,{ch_743w32_TEST}
10389,10,4,2006-12-20 0:00:00,2007-01-17 0:00:00,2006-12-24 0:00:00,2,47.42,Destination OLSSJ,2345 Tsawassen Blvd.,Tsawassen,BC,10130,Canada,{ch_743w32_TEST}
10390,20,6,2006-12-23 0:00:00,2007-01-20 0:00:00,2006-12-26 0:00:00,1,126.38,Destination RVDMF,Kirchgasse 9012,Graz,,10157,Austria,{ch_743w32_TEST}
10391,17,3,2006-12-23 0:00:00,2007-01-20 0:00:00,2006-12-31 0:00:00,3,5.45,Destination AJTHX,Walserweg 9012,Aachen,,10147,Germany,{ch_743w32_TEST}
10392,59,2,2006-12-24 0:00:00,2007-01-21 0:00:00,2007-01-01 0:00:00,3,122.46,Ship to 59-A,Geislweg 6789,Salzburg,,10264,Austria,{ch_743w32_TEST}
10393,71,1,2006-12-25 0:00:00,2007-01-22 0:00:00,2007-01-03 0:00:00,3,126.56,Ship to 71-B,8901 Suffolk Ln.,Boise,ID,10306,USA,{ch_743w32_TEST}
10394,36,1,2006-12-25 0:00:00,2007-01-22 0:00:00,2007-01-03 0:00:00,3,30.34,Destination AWPJG,City Center Plaza 2345 Main St.,Elgin,OR,10200,USA,{ch_743w32_TEST}
10395,35,6,2006-12-26 0:00:00,2007-01-23 0:00:00,2007-01-03 0:00:00,1,184.41,Destination JYDLM,Carrera1234 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,10199,Venezuela,{ch_743w32_TEST}
10396,25,1,2006-12-27 0:00:00,2007-01-10 0:00:00,2007-01-06 0:00:00,3,135.35,Destination VAPXU,Berliner Platz 0123,München,,10168,Germany,{ch_743w32_TEST}
10397,60,5,2006-12-27 0:00:00,2007-01-24 0:00:00,2007-01-02 0:00:00,1,60.26,Ship to 60-A,Estrada da saúde n. 2345,Lisboa,,10270,Portugal,{ch_743w32_TEST}
10398,71,2,2006-12-30 0:00:00,2007-01-27 0:00:00,2007-01-09 0:00:00,3,89.16,Ship to 71-C,9012 Suffolk Ln.,Boise,ID,10307,USA,{ch_743w32_TEST}
10399,83,8,2006-12-31 0:00:00,2007-01-14 0:00:00,2007-01-08 0:00:00,3,27.36,Ship to 83-C,Smagsloget 2345,Århus,,10341,Denmark,{ch_743w32_TEST}
10400,19,1,2007-01-01 0:00:00,2007-01-29 0:00:00,2007-01-16 0:00:00,3,83.93,Destination BBMRT,4567 King George,London,,10152,UK,{ch_743w32_TEST}
10401,65,1,2007-01-01 0:00:00,2007-01-29 0:00:00,2007-01-10 0:00:00,1,12.51,Ship to 65-A,7890 Milton Dr.,Albuquerque,NM,10285,USA,{ch_743w32_TEST}
10402,20,8,2007-01-02 0:00:00,2007-02-13 0:00:00,2007-01-10 0:00:00,2,67.88,Destination FFXKT,Kirchgasse 0123,Graz,,10158,Austria,{ch_743w32_TEST}
10403,20,4,2007-01-03 0:00:00,2007-01-31 0:00:00,2007-01-09 0:00:00,3,73.79,Destination RVDMF,Kirchgasse 9012,Graz,,10157,Austria,{ch_743w32_TEST}
10404,49,2,2007-01-03 0:00:00,2007-01-31 0:00:00,2007-01-08 0:00:00,1,155.97,Ship to 49-B,Via Ludovico il Moro 9012,Bergamo,,10236,Italy,{ch_743w32_TEST}
10405,47,1,2007-01-06 0:00:00,2007-02-03 0:00:00,2007-01-22 0:00:00,1,34.82,Ship to 47-B,Ave. 5 de Mayo Porlamar 4567,I. de Margarita,Nueva Esparta,10231,Venezuela,{ch_743w32_TEST}
10406,62,7,2007-01-07 0:00:00,2007-02-18 0:00:00,2007-01-13 0:00:00,1,108.04,Ship to 62-A,"Alameda dos Canàrios, 8901",Sao Paulo,SP,10276,Brazil,{ch_743w32_TEST}
10407,56,2,2007-01-07 0:00:00,2007-02-04 0:00:00,2007-01-30 0:00:00,2,91.48,Ship to 56-B,Mehrheimerstr. 1234,Köln,,10259,Germany,{ch_743w32_TEST}
10408,23,8,2007-01-08 0:00:00,2007-02-05 0:00:00,2007-01-14 0:00:00,1,11.26,Destination PXQRR,"5678, chaussée de Tournai",Lille,,10163,France,{ch_743w32_TEST}
10409,54,3,2007-01-09 0:00:00,2007-02-06 0:00:00,2007-01-14 0:00:00,1,29.83,Ship to 54-C,Ing. Gustavo Moncada 6789 Piso 20-A,Buenos Aires,,10254,Argentina,{ch_743w32_TEST}
10410,10,3,2007-01-10 0:00:00,2007-02-07 0:00:00,2007-01-15 0:00:00,3,2.4,Destination OLSSJ,2345 Tsawassen Blvd.,Tsawassen,BC,10130,Canada,{ch_743w32_TEST}
10411,10,9,2007-01-10 0:00:00,2007-02-07 0:00:00,2007-01-21 0:00:00,3,23.65,Destination XJIBQ,1234 Tsawassen Blvd.,Tsawassen,BC,10129,Canada,{ch_743w32_TEST}
10412,87,8,2007-01-13 0:00:00,2007-02-10 0:00:00,2007-01-15 0:00:00,2,3.77,Ship to 87-C,Torikatu 3456,Oulu,,10352,Finland,{ch_743w32_TEST}
10413,41,3,2007-01-14 0:00:00,2007-02-11 0:00:00,2007-01-16 0:00:00,2,95.66,Destination DWJIO,9012 rue Alsace-Lorraine,Toulouse,,10217,France,{ch_743w32_TEST}
10414,21,2,2007-01-14 0:00:00,2007-02-11 0:00:00,2007-01-17 0:00:00,3,21.48,Destination SSYXZ,"Rua Orós, 3456",Sao Paulo,SP,10161,Brazil,{ch_743w32_TEST}
10415,36,3,2007-01-15 0:00:00,2007-02-12 0:00:00,2007-01-24 0:00:00,1,0.2,Destination AWPJG,City Center Plaza 2345 Main St.,Elgin,OR,10200,USA,{ch_743w32_TEST}
10416,87,8,2007-01-16 0:00:00,2007-02-13 0:00:00,2007-01-27 0:00:00,3,22.72,Ship to 87-A,Torikatu 1234,Oulu,,10350,Finland,{ch_743w32_TEST}
10417,73,4,2007-01-16 0:00:00,2007-02-13 0:00:00,2007-01-28 0:00:00,3,70.29,Ship to 73-C,Vinbæltet 2345,Kobenhavn,,10311,Denmark,{ch_743w32_TEST}
10418,63,4,2007-01-17 0:00:00,2007-02-14 0:00:00,2007-01-24 0:00:00,1,17.55,Ship to 63-B,Taucherstraße 2345,Cunewalde,,10280,Germany,{ch_743w32_TEST}
10419,68,4,2007-01-20 0:00:00,2007-02-17 0:00:00,2007-01-30 0:00:00,2,137.35,Ship to 68-A,Starenweg 6789,Genève,,10294,Switzerland,{ch_743w32_TEST}
10420,88,3,2007-01-21 0:00:00,2007-02-18 0:00:00,2007-01-27 0:00:00,1,44.12,Ship to 88-C,"Rua do Mercado, 6789",Resende,SP,10355,Brazil,{ch_743w32_TEST}
10421,61,8,2007-01-21 0:00:00,2007-03-04 0:00:00,2007-01-27 0:00:00,1,99.23,Ship to 61-C,"Rua da Panificadora, 7890",Rio de Janeiro,RJ,10275,Brazil,{ch_743w32_TEST}
10422,27,2,2007-01-22 0:00:00,2007-02-19 0:00:00,2007-01-31 0:00:00,1,3.02,Destination FFLQT,Via Monte Bianco 6789,Torino,,10174,Italy,{ch_743w32_TEST}
10423,31,6,2007-01-23 0:00:00,2007-02-06 0:00:00,2007-02-24 0:00:00,3,24.5,Destination VNIAG,"Av. Brasil, 9012",Campinas,SP,10187,Brazil,{ch_743w32_TEST}
10424,51,7,2007-01-23 0:00:00,2007-02-20 0:00:00,2007-01-27 0:00:00,2,370.61,Ship to 51-C,8901 rue St. Laurent,Montréal,Québec,10246,Canada,{ch_743w32_TEST}
10425,41,6,2007-01-24 0:00:00,2007-02-21 0:00:00,2007-02-14 0:00:00,2,7.93,Destination DWJIO,9012 rue Alsace-Lorraine,Toulouse,,10217,France,{ch_743w32_TEST}
10426,29,4,2007-01-27 0:00:00,2007-02-24 0:00:00,2007-02-06 0:00:00,1,18.69,Destination WOFLH,"Rambla de Cataluña, 1234",Barcelona,,10179,Spain,{ch_743w32_TEST}
10427,59,4,2007-01-27 0:00:00,2007-02-24 0:00:00,2007-03-03 0:00:00,2,31.29,Ship to 59-C,Geislweg 8901,Salzburg,,10266,Austria,{ch_743w32_TEST}
10428,66,7,2007-01-28 0:00:00,2007-02-25 0:00:00,2007-02-04 0:00:00,1,11.09,Ship to 66-C,Strada Provinciale 2345,Reggio Emilia,,10290,Italy,{ch_743w32_TEST}
10429,37,3,2007-01-29 0:00:00,2007-03-12 0:00:00,2007-02-07 0:00:00,2,56.63,Destination DGKOU,6789 Johnstown Road,Cork,Co. Cork,10204,Ireland,{ch_743w32_TEST}
10430,20,4,2007-01-30 0:00:00,2007-02-13 0:00:00,2007-02-03 0:00:00,1,458.78,Destination CUVPF,Kirchgasse 1234,Graz,,10159,Austria,{ch_743w32_TEST}
10431,10,4,2007-01-30 0:00:00,2007-02-13 0:00:00,2007-02-07 0:00:00,2,44.17,Destination OLSSJ,2345 Tsawassen Blvd.,Tsawassen,BC,10130,Canada,{ch_743w32_TEST}
10432,75,3,2007-01-31 0:00:00,2007-02-14 0:00:00,2007-02-07 0:00:00,2,4.34,Ship to 75-A,P.O. Box 5678,Lander,WY,10314,USA,{ch_743w32_TEST}
10433,60,3,2007-02-03 0:00:00,2007-03-03 0:00:00,2007-03-04 0:00:00,3,73.83,Ship to 60-A,Estrada da saúde n. 2345,Lisboa,,10270,Portugal,{ch_743w32_TEST}
10434,24,3,2007-02-03 0:00:00,2007-03-03 0:00:00,2007-02-13 0:00:00,2,17.92,Destination NCKKO,Åkergatan 7890,Bräcke,,10165,Sweden,{ch_743w32_TEST}
10435,16,8,2007-02-04 0:00:00,2007-03-18 0:00:00,2007-02-07 0:00:00,2,9.21,Destination QKQNB,Berkeley Gardens 5678 Brewery,London,,10143,UK,{ch_743w32_TEST}
10436,7,3,2007-02-05 0:00:00,2007-03-05 0:00:00,2007-02-11 0:00:00,2,156.66,Ship to 7-C,"2345, place Kléber",Strasbourg,,10331,France,{ch_743w32_TEST}
10437,87,8,2007-02-05 0:00:00,2007-03-05 0:00:00,2007-02-12 0:00:00,1,19.97,Ship to 87-A,Torikatu 1234,Oulu,,10350,Finland,{ch_743w32_TEST}
10438,79,3,2007-02-06 0:00:00,2007-03-06 0:00:00,2007-02-14 0:00:00,2,8.24,Ship to 79-A,Luisenstr. 7890,Münster,,10326,Germany,{ch_743w32_TEST}
10439,51,6,2007-02-07 0:00:00,2007-03-07 0:00:00,2007-02-10 0:00:00,3,4.07,Ship to 51-C,8901 rue St. Laurent,Montréal,Québec,10246,Canada,{ch_743w32_TEST}
10440,71,4,2007-02-10 0:00:00,2007-03-10 0:00:00,2007-02-28 0:00:00,2,86.53,Ship to 71-B,8901 Suffolk Ln.,Boise,ID,10306,USA,{ch_743w32_TEST}
10441,55,3,2007-02-10 0:00:00,2007-03-24 0:00:00,2007-03-14 0:00:00,2,73.02,Ship to 55-C,9012 Bering St.,Anchorage,AK,10257,USA,{ch_743w32_TEST}
10442,20,3,2007-02-11 0:00:00,2007-03-11 0:00:00,2007-02-18 0:00:00,2,47.94,Destination RVDMF,Kirchgasse 9012,Graz,,10157,Austria,{ch_743w32_TEST}
10443,66,8,2007-02-12 0:00:00,2007-03-12 0:00:00,2007-02-14 0:00:00,1,13.95,Ship to 66-C,Strada Provinciale 2345,Reggio Emilia,,10290,Italy,{ch_743w32_TEST}
10444,5,3,2007-02-12 0:00:00,2007-03-12 0:00:00,2007-02-21 0:00:00,3,3.5,Ship to 5-B,Berguvsvägen 0123,Luleå,,10268,Sweden,{ch_743w32_TEST}
10445,5,3,2007-02-13 0:00:00,2007-03-13 0:00:00,2007-02-20 0:00:00,1,9.3,Ship to 5-A,Berguvsvägen 9012,Luleå,,10267,Sweden,{ch_743w32_TEST}
10446,79,6,2007-02-14 0:00:00,2007-03-14 0:00:00,2007-02-19 0:00:00,1,14.68,Ship to 79-C,Luisenstr. 9012,Münster,,10328,Germany,{ch_743w32_TEST}
10447,67,4,2007-02-14 0:00:00,2007-03-14 0:00:00,2007-03-07 0:00:00,2,68.66,Ship to 67-C,"Av. Copacabana, 5678",Rio de Janeiro,RJ,10293,Brazil,{ch_743w32_TEST}
10448,64,4,2007-02-17 0:00:00,2007-03-17 0:00:00,2007-02-24 0:00:00,2,38.82,Ship to 64-A,Av. del Libertador 4567,Buenos Aires,,10282,Argentina,{ch_743w32_TEST}
10449,7,3,2007-02-18 0:00:00,2007-03-18 0:00:00,2007-02-27 0:00:00,2,53.3,Ship to 7-C,"2345, place Kléber",Strasbourg,,10331,France,{ch_743w32_TEST}
10450,84,8,2007-02-19 0:00:00,2007-03-19 0:00:00,2007-03-11 0:00:00,2,7.23,Ship to 84-C,"5678, rue du Commerce",Lyon,,10344,France,{ch_743w32_TEST}
10451,63,4,2007-02-19 0:00:00,2007-03-05 0:00:00,2007-03-12 0:00:00,3,189.09,Ship to 63-C,Taucherstraße 3456,Cunewalde,,10281,Germany,{ch_743w32_TEST}
10452,71,8,2007-02-20 0:00:00,2007-03-20 0:00:00,2007-02-26 0:00:00,1,140.26,Ship to 71-B,8901 Suffolk Ln.,Boise,ID,10306,USA,{ch_743w32_TEST}
10453,4,1,2007-02-21 0:00:00,2007-03-21 0:00:00,2007-02-26 0:00:00,2,25.36,Ship to 4-C,Brook Farm Stratford St. Mary 2345,Colchester,Essex,10240,UK,{ch_743w32_TEST}
10454,41,4,2007-02-21 0:00:00,2007-03-21 0:00:00,2007-02-25 0:00:00,3,2.74,Ship to 41-C,0123 rue Alsace-Lorraine,Toulouse,,10218,France,{ch_743w32_TEST}
10455,87,8,2007-02-24 0:00:00,2007-04-07 0:00:00,2007-03-03 0:00:00,2,180.45,Ship to 87-B,Torikatu 2345,Oulu,,10351,Finland,{ch_743w32_TEST}
10456,39,8,2007-02-25 0:00:00,2007-04-08 0:00:00,2007-02-28 0:00:00,2,8.12,Destination DKMQA,Maubelstr. 0123,Brandenburg,,10208,Germany,{ch_743w32_TEST}
10457,39,2,2007-02-25 0:00:00,2007-03-25 0:00:00,2007-03-03 0:00:00,1,11.57,Destination RMBHM,Maubelstr. 1234,Brandenburg,,10209,Germany,{ch_743w32_TEST}
10458,76,7,2007-02-26 0:00:00,2007-03-26 0:00:00,2007-03-04 0:00:00,3,147.06,Ship to 76-A,"Boulevard Tirou, 8901",Charleroi,,10317,Belgium,{ch_743w32_TEST}
10459,84,4,2007-02-27 0:00:00,2007-03-27 0:00:00,2007-02-28 0:00:00,2,25.09,Ship to 84-B,"4567, rue du Commerce",Lyon,,10343,France,{ch_743w32_TEST}
10460,24,8,2007-02-28 0:00:00,2007-03-28 0:00:00,2007-03-03 0:00:00,1,16.27,Destination YCMPK,Åkergatan 8901,Bräcke,,10166,Sweden,{ch_743w32_TEST}
10461,46,1,2007-02-28 0:00:00,2007-03-28 0:00:00,2007-03-05 0:00:00,3,148.61,Ship to 46-A,Carrera 0123 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,10227,Venezuela,{ch_743w32_TEST}
10462,16,2,2007-03-03 0:00:00,2007-03-31 0:00:00,2007-03-18 0:00:00,1,6.17,Destination ARRMM,Berkeley Gardens 6789 Brewery,London,,10144,UK,{ch_743w32_TEST}
10463,76,5,2007-03-04 0:00:00,2007-04-01 0:00:00,2007-03-06 0:00:00,3,14.78,Ship to 76-B,"Boulevard Tirou, 9012",Charleroi,,10318,Belgium,{ch_743w32_TEST}
10464,28,4,2007-03-04 0:00:00,2007-04-01 0:00:00,2007-03-14 0:00:00,2,89,Destination OTSWR,Jardim das rosas n. 9012,Lisboa,,10177,Portugal,{ch_743w32_TEST}
10465,83,1,2007-03-05 0:00:00,2007-04-02 0:00:00,2007-03-14 0:00:00,3,145.04,Ship to 83-A,Smagsloget 0123,Århus,,10339,Denmark,{ch_743w32_TEST}
10466,15,4,2007-03-06 0:00:00,2007-04-03 0:00:00,2007-03-13 0:00:00,1,11.93,Destination GGSQD,"Av. dos Lusíadas, 2345",Sao Paulo,SP,10140,Brazil,{ch_743w32_TEST}
10467,49,8,2007-03-06 0:00:00,2007-04-03 0:00:00,2007-03-11 0:00:00,2,4.93,Ship to 49-C,Via Ludovico il Moro 0123,Bergamo,,10237,Italy,{ch_743w32_TEST}
10468,39,3,2007-03-07 0:00:00,2007-04-04 0:00:00,2007-03-12 0:00:00,3,44.12,Destination RMBHM,Maubelstr. 1234,Brandenburg,,10209,Germany,{ch_743w32_TEST}
10469,89,1,2007-03-10 0:00:00,2007-04-07 0:00:00,2007-03-14 0:00:00,1,60.18,Ship to 89-C,9012 - 12th Ave. S.,Seattle,WA,10358,USA,{ch_743w32_TEST}
10470,9,4,2007-03-11 0:00:00,2007-04-08 0:00:00,2007-03-14 0:00:00,2,64.56,Ship to 9-C,"0123, rue des Bouchers",Marseille,,10369,France,{ch_743w32_TEST}
10471,11,2,2007-03-11 0:00:00,2007-04-08 0:00:00,2007-03-18 0:00:00,3,45.59,Destination NZASL,Fauntleroy Circus 5678,London,,10133,UK,{ch_743w32_TEST}
10472,72,8,2007-03-12 0:00:00,2007-04-09 0:00:00,2007-03-19 0:00:00,1,4.2,Ship to 72-A,0123 Wadhurst Rd.,London,,10308,UK,{ch_743w32_TEST}
10473,38,1,2007-03-13 0:00:00,2007-03-27 0:00:00,2007-03-21 0:00:00,3,16.37,Destination AXVHD,Garden House Crowther Way 9012,Cowes,Isle of Wight,10207,UK,{ch_743w32_TEST}
10474,58,5,2007-03-13 0:00:00,2007-04-10 0:00:00,2007-03-21 0:00:00,2,83.49,Ship to 58-C,Calle Dr. Jorge Cash 5678,México D.F.,,10263,Mexico,{ch_743w32_TEST}
10475,76,9,2007-03-14 0:00:00,2007-04-11 0:00:00,2007-04-04 0:00:00,1,68.52,Ship to 76-C,"Boulevard Tirou, 0123",Charleroi,,10319,Belgium,{ch_743w32_TEST}
10476,35,8,2007-03-17 0:00:00,2007-04-14 0:00:00,2007-03-24 0:00:00,3,4.41,Destination SXYQX,Carrera 0123 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,10198,Venezuela,{ch_743w32_TEST}
10477,60,5,2007-03-17 0:00:00,2007-04-14 0:00:00,2007-03-25 0:00:00,2,13.02,Ship to 60-A,Estrada da saúde n. 2345,Lisboa,,10270,Portugal,{ch_743w32_TEST}
10478,84,2,2007-03-18 0:00:00,2007-04-01 0:00:00,2007-03-26 0:00:00,3,4.81,Ship to 84-C,"5678, rue du Commerce",Lyon,,10344,France,{ch_743w32_TEST}
10479,65,3,2007-03-19 0:00:00,2007-04-16 0:00:00,2007-03-21 0:00:00,3,708.95,Ship to 65-C,9012 Milton Dr.,Albuquerque,NM,10287,USA,{ch_743w32_TEST}
10480,23,6,2007-03-20 0:00:00,2007-04-17 0:00:00,2007-03-24 0:00:00,2,1.35,Destination AGPCO,"6789, chaussée de Tournai",Lille,,10164,France,{ch_743w32_TEST}
10481,67,8,2007-03-20 0:00:00,2007-04-17 0:00:00,2007-03-25 0:00:00,2,64.33,Ship to 67-A,"Av. Copacabana, 3456",Rio de Janeiro,RJ,10291,Brazil,{ch_743w32_TEST}
10482,43,1,2007-03-21 0:00:00,2007-04-18 0:00:00,2007-04-10 0:00:00,3,7.48,Ship to 43-B,3456 Orchestra Terrace,Walla Walla,WA,10221,USA,{ch_743w32_TEST}
10483,89,7,2007-03-24 0:00:00,2007-04-21 0:00:00,2007-04-25 0:00:00,2,15.28,Ship to 89-A,7890 - 12th Ave. S.,Seattle,WA,10356,USA,{ch_743w32_TEST}
10484,11,3,2007-03-24 0:00:00,2007-04-21 0:00:00,2007-04-01 0:00:00,3,6.88,Destination DLEUN,Fauntleroy Circus 4567,London,,10132,UK,{ch_743w32_TEST}
10485,47,4,2007-03-25 0:00:00,2007-04-08 0:00:00,2007-03-31 0:00:00,2,64.45,Ship to 47-B,Ave. 5 de Mayo Porlamar 4567,I. de Margarita,Nueva Esparta,10231,Venezuela,{ch_743w32_TEST}
10486,35,1,2007-03-26 0:00:00,2007-04-23 0:00:00,2007-04-02 0:00:00,2,30.53,Destination UOUWK,Carrera 9012 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,10197,Venezuela,{ch_743w32_TEST}
10487,62,2,2007-03-26 0:00:00,2007-04-23 0:00:00,2007-03-28 0:00:00,2,71.07,Ship to 62-B,"Alameda dos Canàrios, 9012",Sao Paulo,SP,10277,Brazil,{ch_743w32_TEST}
10488,25,8,2007-03-27 0:00:00,2007-04-24 0:00:00,2007-04-02 0:00:00,2,4.93,Destination VAPXU,Berliner Platz 0123,München,,10168,Germany,{ch_743w32_TEST}
10489,59,6,2007-03-28 0:00:00,2007-04-25 0:00:00,2007-04-09 0:00:00,2,5.29,Ship to 59-C,Geislweg 8901,Salzburg,,10266,Austria,{ch_743w32_TEST}
10490,35,7,2007-03-31 0:00:00,2007-04-28 0:00:00,2007-04-03 0:00:00,2,210.19,Destination JYDLM,Carrera1234 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,10199,Venezuela,{ch_743w32_TEST}
10491,28,8,2007-03-31 0:00:00,2007-04-28 0:00:00,2007-04-08 0:00:00,3,16.96,Destination OTSWR,Jardim das rosas n. 9012,Lisboa,,10177,Portugal,{ch_743w32_TEST}
10492,10,3,2007-04-01 0:00:00,2007-04-29 0:00:00,2007-04-11 0:00:00,1,62.89,Destination XJIBQ,1234 Tsawassen Blvd.,Tsawassen,BC,10129,Canada,{ch_743w32_TEST}
10493,41,4,2007-04-02 0:00:00,2007-04-30 0:00:00,2007-04-10 0:00:00,3,10.64,Destination OLJND,8901 rue Alsace-Lorraine,Toulouse,,10216,France,{ch_743w32_TEST}
10494,15,4,2007-04-02 0:00:00,2007-04-30 0:00:00,2007-04-09 0:00:00,2,65.99,Destination EVHYA,"Av. dos Lusíadas, 3456",Sao Paulo,SP,10141,Brazil,{ch_743w32_TEST}
10495,42,3,2007-04-03 0:00:00,2007-05-01 0:00:00,2007-04-11 0:00:00,3,4.65,Ship to 42-C,2345 Elm St.,Vancouver,BC,10220,Canada,{ch_743w32_TEST}
10496,81,7,2007-04-04 0:00:00,2007-05-02 0:00:00,2007-04-07 0:00:00,2,46.77,Ship to 81-C,"Av. Inês de Castro, 7890",Sao Paulo,SP,10336,Brazil,{ch_743w32_TEST}
10497,44,7,2007-04-04 0:00:00,2007-05-02 0:00:00,2007-04-07 0:00:00,1,36.21,Ship to 44-A,Magazinweg 4567,Frankfurt a.M.,,10222,Germany,{ch_743w32_TEST}
10498,35,8,2007-04-07 0:00:00,2007-05-05 0:00:00,2007-04-11 0:00:00,2,29.75,Destination SXYQX,Carrera 0123 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,10198,Venezuela,{ch_743w32_TEST}
10499,46,4,2007-04-08 0:00:00,2007-05-06 0:00:00,2007-04-16 0:00:00,2,102.02,Ship to 46-C,Carrera 2345 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,10229,Venezuela,{ch_743w32_TEST}
10500,41,6,2007-04-09 0:00:00,2007-05-07 0:00:00,2007-04-17 0:00:00,1,42.68,Destination OLJND,8901 rue Alsace-Lorraine,Toulouse,,10216,France,{ch_743w32_TEST}
10501,6,9,2007-04-09 0:00:00,2007-05-07 0:00:00,2007-04-16 0:00:00,3,8.85,Ship to 6-C,Forsterstr. 4567,Mannheim,,10302,Germany,{ch_743w32_TEST}
10502,58,2,2007-04-10 0:00:00,2007-05-08 0:00:00,2007-04-29 0:00:00,1,69.32,Ship to 58-B,Calle Dr. Jorge Cash 4567,México D.F.,,10262,Mexico,{ch_743w32_TEST}
10503,37,6,2007-04-11 0:00:00,2007-05-09 0:00:00,2007-04-16 0:00:00,2,16.74,Destination ATSOA,4567 Johnstown Road,Cork,Co. Cork,10202,Ireland,{ch_743w32_TEST}
10504,89,4,2007-04-11 0:00:00,2007-05-09 0:00:00,2007-04-18 0:00:00,3,59.13,Ship to 89-B,8901 - 12th Ave. S.,Seattle,WA,10357,USA,{ch_743w32_TEST}
10505,51,3,2007-04-14 0:00:00,2007-05-12 0:00:00,2007-04-21 0:00:00,3,7.13,Ship to 51-B,7890 rue St. Laurent,Montréal,Québec,10245,Canada,{ch_743w32_TEST}
10506,39,9,2007-04-15 0:00:00,2007-05-13 0:00:00,2007-05-02 0:00:00,2,21.19,Destination DKMQA,Maubelstr. 0123,Brandenburg,,10208,Germany,{ch_743w32_TEST}
10507,3,7,2007-04-15 0:00:00,2007-05-13 0:00:00,2007-04-22 0:00:00,1,47.45,Destination FQFLS,Mataderos 3456,México D.F.,,10211,Mexico,{ch_743w32_TEST}
10508,56,1,2007-04-16 0:00:00,2007-05-14 0:00:00,2007-05-13 0:00:00,2,4.99,Ship to 56-C,Mehrheimerstr. 2345,Köln,,10260,Germany,{ch_743w32_TEST}
10509,6,4,2007-04-17 0:00:00,2007-05-15 0:00:00,2007-04-29 0:00:00,1,0.15,Ship to 6-A,Forsterstr. 2345,Mannheim,,10300,Germany,{ch_743w32_TEST}
10510,71,6,2007-04-18 0:00:00,2007-05-16 0:00:00,2007-04-28 0:00:00,3,367.63,Ship to 71-A,7890 Suffolk Ln.,Boise,ID,10305,USA,{ch_743w32_TEST}
10511,9,4,2007-04-18 0:00:00,2007-05-16 0:00:00,2007-04-21 0:00:00,3,350.64,Ship to 9-B,"9012, rue des Bouchers",Marseille,,10368,France,{ch_743w32_TEST}
10512,21,7,2007-04-21 0:00:00,2007-05-19 0:00:00,2007-04-24 0:00:00,2,3.53,Destination RNSMS,"Rua Orós, 2345",Sao Paulo,SP,10160,Brazil,{ch_743w32_TEST}
10513,86,7,2007-04-22 0:00:00,2007-06-03 0:00:00,2007-04-28 0:00:00,1,105.65,Ship to 86-A,Adenauerallee 8901,Stuttgart,,10347,Germany,{ch_743w32_TEST}
10514,20,3,2007-04-22 0:00:00,2007-05-20 0:00:00,2007-05-16 0:00:00,2,789.95,Destination CUVPF,Kirchgasse 1234,Graz,,10159,Austria,{ch_743w32_TEST}
10515,63,2,2007-04-23 0:00:00,2007-05-07 0:00:00,2007-05-23 0:00:00,1,204.47,Ship to 63-B,Taucherstraße 2345,Cunewalde,,10280,Germany,{ch_743w32_TEST}
10516,37,2,2007-04-24 0:00:00,2007-05-22 0:00:00,2007-05-01 0:00:00,3,62.78,Destination DGKOU,6789 Johnstown Road,Cork,Co. Cork,10204,Ireland,{ch_743w32_TEST}
10517,53,3,2007-04-24 0:00:00,2007-05-22 0:00:00,2007-04-29 0:00:00,3,32.07,Ship to 53-A,South House 2345 Queensbridge,London,,10250,UK,{ch_743w32_TEST}
10518,80,4,2007-04-25 0:00:00,2007-05-09 0:00:00,2007-05-05 0:00:00,2,218.15,Ship to 80-B,Avda. Azteca 4567,México D.F.,,10333,Mexico,{ch_743w32_TEST}
10519,14,6,2007-04-28 0:00:00,2007-05-26 0:00:00,2007-05-01 0:00:00,3,91.76,Destination NRTZZ,Hauptstr. 0123,Bern,,10138,Switzerland,{ch_743w32_TEST}
